,followers,genres,href,id,name,popularity,uri
9679,"{'href': None, 'total': 218115}","['neon pop punk', 'pop emo', 'pop punk']",https://api.spotify.com/v1/artists/09J4zbHHwNNlN2tfgJIg21,09J4zbHHwNNlN2tfgJIg21,Anarbor,51,spotify:artist:09J4zbHHwNNlN2tfgJIg21
9680,"{'href': None, 'total': 279956}","['neon pop punk', 'pop punk', 'screamo']",https://api.spotify.com/v1/artists/04RtvnUz0XrUbUZzOA8ZoW,04RtvnUz0XrUbUZzOA8ZoW,Sugarcult,52,spotify:artist:04RtvnUz0XrUbUZzOA8ZoW
9681,"{'href': None, 'total': 3099}",[],https://api.spotify.com/v1/artists/3VyCsAmODtuqzePeg1oEmF,3VyCsAmODtuqzePeg1oEmF,Mangas Colorado,11,spotify:artist:3VyCsAmODtuqzePeg1oEmF
9682,"{'href': None, 'total': 260694}","['soul', 'soul blues', 'southern soul']",https://api.spotify.com/v1/artists/4nts0oxMT67lVUoi5Kjxrb,4nts0oxMT67lVUoi5Kjxrb,Solomon Burke,56,spotify:artist:4nts0oxMT67lVUoi5Kjxrb
9683,"{'href': None, 'total': 19947}",[],https://api.spotify.com/v1/artists/4v2DyasTOGK3Pv90w75yar,4v2DyasTOGK3Pv90w75yar,Striking Matches,27,spotify:artist:4v2DyasTOGK3Pv90w75yar
9684,"{'href': None, 'total': 5541}",[],https://api.spotify.com/v1/artists/1Nj7aYnxt1wJeICQC6Fo7l,1Nj7aYnxt1wJeICQC6Fo7l,Cascade,3,spotify:artist:1Nj7aYnxt1wJeICQC6Fo7l
9685,"{'href': None, 'total': 14108}",[],https://api.spotify.com/v1/artists/3cVANA4xg8pLvSvg943xCU,3cVANA4xg8pLvSvg943xCU,Sasha,28,spotify:artist:3cVANA4xg8pLvSvg943xCU
9686,"{'href': None, 'total': 766049}","['alternative r&b', 'bronx hip hop', 'contemporary r&b', 'dirty south rap', 'hip pop', 'r&b', 'southern hip hop', 'trap queen', 'urban contemporary']",https://api.spotify.com/v1/artists/39mHYiNmLR7p8PXNG8Wll6,39mHYiNmLR7p8PXNG8Wll6,Remy Ma,58,spotify:artist:39mHYiNmLR7p8PXNG8Wll6
9687,"{'href': None, 'total': 3213}",[],https://api.spotify.com/v1/artists/6N8NQNDS1IPlR0qK6CP7z2,6N8NQNDS1IPlR0qK6CP7z2,Kasey Andre,17,spotify:artist:6N8NQNDS1IPlR0qK6CP7z2
9688,"{'href': None, 'total': 32916}","['cape town indie', 'south african pop', 'south african pop dance']",https://api.spotify.com/v1/artists/4iSv3eRHwrwQTYbRCXxmL3,4iSv3eRHwrwQTYbRCXxmL3,GoodLuck,37,spotify:artist:4iSv3eRHwrwQTYbRCXxmL3
9689,"{'href': None, 'total': 127356}",['chicano rap'],https://api.spotify.com/v1/artists/0Ug6OsFk2B0mLvXrpmpRs6,0Ug6OsFk2B0mLvXrpmpRs6,Brown Boy,35,spotify:artist:0Ug6OsFk2B0mLvXrpmpRs6
9690,"{'href': None, 'total': 767358}","['boy band', 'contemporary r&b', 'r&b']",https://api.spotify.com/v1/artists/1B8ySGDAiXTCvnJNH4HSCG,1B8ySGDAiXTCvnJNH4HSCG,All-4-One,54,spotify:artist:1B8ySGDAiXTCvnJNH4HSCG
9691,"{'href': None, 'total': 34305}","['chicano rap', 'mexican hip hop', 'texas latin rap']",https://api.spotify.com/v1/artists/0jbx51hrAITPKt71DQj4lt,0jbx51hrAITPKt71DQj4lt,Big Gemini,42,spotify:artist:0jbx51hrAITPKt71DQj4lt
9692,"{'href': None, 'total': 52485}","['classic dubstep', 'footwork', 'future garage', 'uk bass', 'uk garage', 'weightless', 'wonky']",https://api.spotify.com/v1/artists/0e1hn6R8UCfLkpHINwAyXR,0e1hn6R8UCfLkpHINwAyXR,Zomby,27,spotify:artist:0e1hn6R8UCfLkpHINwAyXR
9693,"{'href': None, 'total': 1828}",[],https://api.spotify.com/v1/artists/36XNELxkBl01hPe1ePC5WB,36XNELxkBl01hPe1ePC5WB,Slava,2,spotify:artist:36XNELxkBl01hPe1ePC5WB
9694,"{'href': None, 'total': 60984}",['soundtrack'],https://api.spotify.com/v1/artists/2OVqg3lxC8ZIf0vHcEqaCf,2OVqg3lxC8ZIf0vHcEqaCf,Cliff Martinez,42,spotify:artist:2OVqg3lxC8ZIf0vHcEqaCf
9695,"{'href': None, 'total': 11564}",[],https://api.spotify.com/v1/artists/2RIAZJVGT3qjZ5BNw0yVxH,2RIAZJVGT3qjZ5BNw0yVxH,Shawn Chrystopher,25,spotify:artist:2RIAZJVGT3qjZ5BNw0yVxH
9696,"{'href': None, 'total': 35027}","['jazz guitar', 'jazz guitar trio', 'jazz trio']",https://api.spotify.com/v1/artists/6WbUlW1uuChmQumXueDmgp,6WbUlW1uuChmQumXueDmgp,Wes Montgomery Trio,45,spotify:artist:6WbUlW1uuChmQumXueDmgp
9697,"{'href': None, 'total': 159}",[],https://api.spotify.com/v1/artists/0BjMpPwQO5dNt7dW7fGdtk,0BjMpPwQO5dNt7dW7fGdtk,Hippster Trio,0,spotify:artist:0BjMpPwQO5dNt7dW7fGdtk
